"response_id","q1_1","q1_1_1_code","q1_1_2_code","q1_2","q1_2_1_code","q1_2_2_code","q1_3","q1_3_1_code","q1_3_2_code","q1_4","q1_4_1_code","q1_4_2_code","q1_5","q1_5_1_code","q1_5_2_code"
"R_31nQyxujN9Mcpr0","Red Robin","","","Apple bees","","","Denny's","","","","","","","",""
"R_3pf3ZqHOq9N3pGt","Chick Fil A","","1","","","","","","","","","","","",""
"R_3qJXoaraim45bxZ","none","","","","","","","","","","","","","",""
"R_22tdRUsguY9CvHy","Best Steak House","","","Steak and Shake","","","","","","","","","","",""
"R_1KkFbnOw6jm3YKK","None","","","","","","","","","","","","","",""
"R_3oMBOT1deTAJWnn","Applebee’s","","","","","","","","","","","","","",""
"R_3pa5j2ogx4ry0rY","Qudoba","10","","Panda express","","8","","","","","","","","",""
"R_2zA692D6WbTGXMF","Subway","","","Hardeys","","","Taco bell","","12","Sonic","","","Mc Donald’s","",""
"R_3iVBFOGRzjeUKPJ","None","","","","","","","","","","","","","",""
"R_1rpuul9tWgbnlX4","Panera","9","","Chipotle","2","","","","","","","","","",""
